state,city,zipcode,address,latitude,longitude,zpid,bathrooms,bedrooms,sqft,homtype,taxAssessmentYear,taxAssessment,zestimate,rentzestimate,real rent
NC,Durham,27707,401 Moline St,35.978339,-78.902403,49978896,1.0,4,1296,SingleFamily,2014,80507.0,95148,1200,"1,400"
NC,Durham,27713,1444 Sedwick Rd,35.884201,-78.90623,50018802,2.5,4,1700,SingleFamily,2014,146016.0,195917,1395,"1,450"
NC,Durham,27704,2825 Tulip Poplar Cir,36.038417,-78.813048,98207465,2.5,3,1520,SingleFamily,2014,157651.0,159700,1365,"1,395"
NC,Durham,27703,1808 Pennypacker Ln,35.95163,-78.817535,87749038,3.0,3,2751,SingleFamily,2014,295337.0,306911,1865,"1,985"
NC,Durham,27703,114 Glenview Ln,35.962676,-78.830227,109949269,2.5,4,2563,SingleFamily,2014,236920.0,256765,1700,"1,700"
NC,Durham,27712,3 Moss Creek Ct,36.122697,-78.867794,50027571,3.0,4,4525,SingleFamily,2014,469752.0,495505,3000,"3,000"
NC,Durham,27713,8 Rockwall Garden Way,35.900373,-78.957229,70923143,2.0,3,1898,SingleFamily,2014,254820.0,270166,1650,"1,725"
NC,Durham,27707,112 Grapevine Trl,35.947898,-78.972129,61725664,2.0,2,1400,SingleFamily,2014,171530.0,183219,1350,"1,300"
NC,Durham,27705,211 Mt Evans Dr,36.025471,-78.968844,109955844,2.0,2,1340,SingleFamily,2014,154615.0,197050,1350,"1,395"
NC,Durham,27704,108 Parsons Green Ct,36.061533,-78.913809,98185005,2.5,3,2100,SingleFamily,2014,170322.0,187697,2700,"2,750"
NC,Durham,27704,2602 Tulip Poplar Cir,36.03713,-78.8099,2095510372,7.0,3,1704,SingleFamily,2014,179038.0,186382,1395,"1,395"
NC,Durham,27707,44 Grapevine Trl,35.948169,-78.970852,70923057,2.5,3,1500,Townhouse,2014,201614.0,194558,1500,"2,550"
NC,Durham,27703,1725 Tw Alexander Dr,35.922504,-78.840026,70921800,2.5,3,1456,Condominium,2014,142244.0,146015,1250,"1,250"
NC,Durham,27713,5500 Fortunes Ridge Dr APT 96C,35.927358,-78.93094,50001446,2.0,3,1342,Townhouse,2014,128019.0,145546,1330,"1,450"
NC,Durham,27713,3372 Tarleton W,35.936893,-78.896262,70593235,1.5,2,1108,Townhouse,2014,108929.0,122487,1100,"1,100"
NC,Durham,27701,611 Hickory St,35.980795,-78.892,49980170,2.0,3,1135,SingleFamily,2014,12310.0,108967,1195,999
NC,Durham,27704,3600 Mountain Brook Cir,36.022092,-78.824183,80198407,2.5,3,1856,SingleFamily,2014,163239.0,174924,1395,"1,450"
NC,Morrisville,27560,209 King Lear Ln,35.891023,-78.832281,114429136,2.5,4,3000,SingleFamily,2014,63872.0,289341,1695,"1,850"
NC,Durham,27713,123 College Ave,35.883745,-78.954544,50002031,2.0,3,1927,SingleFamily,2014,214435.0,271032,1650,"1,595"
NC,Durham,27704,1812 E Geer St,36.015404,-78.860043,50007280,1.0,2,1008,SingleFamily,2014,80968.0,95898,925,895
